GMI_CNTRY,pjanMN,poctMN,pnovMN,pdecMN,pfebMN,pmarMN,paprMN,pmayMN,pjunMN,pjulMN,paugMN,psepMN,tjanMN,toctMN,tnovMN,tdecMN,tfebMN,tmarMN,taprMN,tmayMN,tjunMN,tjulMN,taugMN,tsepMN
CHL,61.5518184,66.79734543,62.94133333,64.54358106,59.03356542,71.84180476,82.36683796,115.1494017,118.6258465,120.335568,100.8579256,74.02286386,129.6797771,85.68212971,102.1047918,119.031074,126.2264366,112.4930701,90.84489138,66.24973235,47.11550605,44.98682425,51.14433085,67.51223942
CYM,47.90909091,220.5757576,110.3585859,59.44949495,35.5,24.76262626,54.71717172,162.1363636,163.1212121,153.1010101,161.6868687,190.8989899,245.8585859,270.2222222,262.4242424,253.020202,243.020202,252.469697,261.3080808,270.3838384,278.5151515,281.3484848,280.3989899,277.2575758
COL,98.7402574,275.6286334,218.621497,145.599405,115.7173436,160.7340847,264.24642,310.7186997,291.4253437,272.7947853,261.9367702,252.8616452,248.2935474,244.4350084,246.6424723,245.1698661,251.3150841,252.9447539,249.2040724,246.0490914,240.6804836,239.5032185,241.4479686,243.6545761
CRI,115.3724387,417.4569136,284.3734208,188.0608386,79.19175392,73.06834562,130.1712136,300.9614328,343.6847046,321.5078483,343.0967925,373.6254141,228.5381427,229.6713717,226.5605473,225.1204621,232.4335436,242.7146995,247.395093,242.944954,235.9995672,237.0921484,234.5959852,232.1367412
CUB,40.70893804,171.3790238,68.7352679,34.29533267,38.35960873,43.21066118,77.08897191,181.9598108,191.5548582,139.3502726,160.4555326,185.4139396,222.1442609,258.7142634,242.7183633,226.9577311,222.2751823,237.0841887,250.0093361,259.7073634,266.8134628,273.1610318,274.3544096,269.0328733
DMA,167.9485714,299.6342857,293.104,225.9977143,120.2902857,123.0982857,140.088,172.064,229.2891429,286.1497143,288.5177143,291.3097143,222.6,243.3017143,238.152,228.4982857,221.5177143,225.9188571,232.3897143,241.9051429,246.5142857,245.504,248.176,247.8434286
DOM,57.75446285,160.3431023,118.3112743,84.48865463,56.61483274,61.9149055,103.3640671,185.1386487,135.0905599,112.6527352,137.9920134,153.6239869,218.6695714,247.6822958,236.3405303,223.8809963,222.4522581,230.9665984,238.4087717,245.0799844,251.0039595,253.8488807,255.565458,253.1652989
ECU,185.9664491,140.1062871,131.2125138,133.5033914,201.3332427,240.3354152,238.3483728,185.7406755,171.2496374,141.8190023,109.4257562,123.0379261,211.8220713,208.9741317,210.1142518,211.9992277,213.3505352,213.7719565,213.6049709,210.5788507,204.2270731,200.4229759,202.5543188,206.3964428
SLV,3.631679157,256.1784079,45.63354264,7.340773749,3.410411181,10.24715414,50.0850314,194.0085477,338.4059145,275.4330565,287.4295321,367.3228276,237.1004659,237.5349808,234.6317197,232.0403079,241.7230707,253.320478,259.2928094,254.1695767,243.6386064,246.9923435,243.2668017,238.6790764
GUF,283.0533907,71.72020731,118.8526976,235.6289739,247.9928444,275.9796578,324.3266105,404.5820641,312.3509905,208.3500399,139.5975099,74.55224582,246.4032977,261.4726146,258.844847,251.5067569,246.4335555,250.5312494,253.803682,253.6736859,251.7228038,253.2044651,258.5222129,261.6666735
FLK,64.23404045,32.54571527,38.66706226,56.37022202,47.11927014,49.9102507,50.45087277,49.94392523,44.76358602,42.27681353,38.05592642,32.57301093,89.87098848,53.90431687,71.73579588,83.03288335,92.63299214,84.88661425,60.64293132,39.20941502,23.68713841,21.15052168,25.16036196,34.88433961
GRD,121.1937985,237.0180879,254.6046512,188.0723514,86.0749354,64.34366925,69.37209302,118.4082687,225.870801,229.9793282,221.7958656,199.1033592,249.0129199,266.4909561,261.9328165,254.622739,249.1421189,254.9844961,261.2842377,265.1653747,263.1886305,261.5736434,265.0284238,264.5426357
GLP,106.9362487,234.9062171,216.3451001,168.2476291,74.14699684,85.15595364,115.280295,163.191254,159.2671233,196.5474183,225.7133825,232.3282403,230.2950474,254.2660695,250.8551106,237.3609062,230.0147524,233.5605901,245.4778714,251.5605901,257.9515279,257.7550053,259.8508957,258.6570074
GTM,63.77544557,252.3673716,122.2249399,80.37708425,43.67448716,45.0103173,62.39522456,166.4561609,313.027407,278.9995238,251.3134344,317.5824704,207.4937567,228.7751735,218.6407008,209.6814107,214.8073045,229.4269777,241.9971883,245.7802452,242.3181811,236.9512857,237.5057898,235.8117564
GUY,148.7520855,81.41915155,105.8075212,149.5554903,100.7681059,116.7040448,169.2708117,290.831232,324.9414193,254.7126297,192.1482711,95.68594396,253.0227636,270.0865333,266.1091269,258.9320492,254.1520353,257.0320083,260.172079,259.2774052,255.8871696,256.2657805,261.3697953,268.0930175
